winter,date_posix_ts,canton,community,starting_zone_Y,starting_zone_X,elevation,aspect_id,aspect_string,activity,victims,caught,buried,danger_level
2000/01,973897200,UR,Andermatt,689630,162030,2840,14,WNW,2,1,3,1,3
1999/00,968536800,VS,Naters,637490,140340,3800,3,NE,1,2,2,0,0
1999/00,956527200,VS,Bourg Staint Pierre,585250,85425,2415,16,NNW,1,1,3,2,3
1999/00,956008800,VS,Saas Fee,638360,104270,2580,16,NNW,3,1,6,1,3
1999/00,951865200,GR,Klosters Serneus,791410,187800,2970,13,W,1,1,1,1,2
1999/00,951519600,BE,Frutigen,615170,153500,2190,15,NW,2,1,2,1,2
1999/00,951087600,GR,Davos,780970,189450,2615,3,NE,2,3,6,4,3
1999/00,950396400,SG,Grabs,743050,225450,1800,1,N,2,1,1,1,2
1999/00,949705200,VS,Finhaut,561650,101900,1940,5,E,1,2,3,2,2
1999/00,949186800,BE,Adelboden,606425,146940,1930,6,ESE,2,1,3,1,4
1999/00,946594800,GR,Ardez,808675,186365,2280,7,SE,1,1,2,2,3
1999/00,946508400,VS,Bourg St Pierre,580785,81806,2200,14,WNW,1,1,17,2,3
1999/00,946249200,GR,Tschiertschen,763875,185365,2300,3,NE,3,1,1,1,3
1999/00,941929200,TI,Bedretto,678750,152090,2930,9,S,1,2,2,2,0
1998/99,930952800,BE,Guttannen,653080,159200,3880,9,S,1,1,1,0,0
1998/99,930520800,UR,Spiringen,709000,189060,3080,1,N,1,2,2,2,0
1998/99,924559200,GR,Scuol,821160,175620,2750,15,NW,1,1,2,1,2
1998/99,924040800,GR,Susch,792610,177690,3020,4,ENE,1,1,3,0,2
1998/99,920934000,GR,Pontresina,794200,143400,2900,2,NNE,2,1,1,1,2
1998/99,919724400,UR,Silenen,697540,183240,2750,9,S,4,1,1,1,5
1998/99,919724400,VS,Geschinen,662300,152000,2600,5,E,4,1,1,1,5
1998/99,919551600,VS,Evolène,608000,107400,2900,12,WSW,4,9,9,9,4
1998/99,919551600,VS,Evolène,607300,108550,2900,12,WSW,3,3,4,3,4
1998/99,918860400,VS,Bagnes,585800,103750,2150,13,W,2,1,1,1,3
1998/99,918687600,GR,Davos,780760,178330,2280,14,WNW,2,1,2,2,4
1998/99,918428400,BE,Lauterbrunnen,638850,161300,2150,13,W,4,2,2,2,4
